"GTDSCMMN.Code.or.Value","GTDSCMMN.Value.Description","GTDSCMMN.Count","GTDSCMMN.Cumulative","GTDSCMMN.Skip.to.Item"
"0 to 11","Range of Values",2107,2107,NA
".","Missing",606,2713,NA
