"WBXA026.Code.or.Value","WBXA026.Value.Description","WBXA026.Count","WBXA026.Cumulative","WBXA026.Skip.to.Item"
"-3.656 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
