"MCQ260CH.Code.or.Value","MCQ260CH.Value.Description","MCQ260CH.Count","MCQ260CH.Cumulative","MCQ260CH.Skip.to.Item"
"8","Sister",205,205,"MCQ250E"
".","Missing",9440,9645,""
