"WTSBA33.Code.or.Value","WTSBA33.Value.Description","WTSBA33.Count","WTSBA33.Cumulative","WTSBA33.Skip.to.Item"
"0 to 363632.43769","Range of Values",946,946,NA
".","Missing",65,1011,NA
