"LBDVVBLC.Code.or.Value","LBDVVBLC.Value.Description","LBDVVBLC.Count","LBDVVBLC.Cumulative","LBDVVBLC.Skip.to.Item"
"0","At or above detection limit",0,0,NA
"1","Below lower detection limit",2865,2865,NA
".","Missing",307,3172,NA
