"LBDCRYSI.Code.or.Value","LBDCRYSI.Value.Description","LBDCRYSI.Count","LBDCRYSI.Cumulative","LBDCRYSI.Skip.to.Item"
"0.011 to 8.742","Range of Values",6488,6488,NA
".","Missing",947,7435,NA
