"BIXS500K.Code.or.Value","BIXS500K.Value.Description","BIXS500K.Count","BIXS500K.Cumulative","BIXS500K.Skip.to.Item"
"161.18 to 828.05","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
