"TYXP228.Code.or.Value","TYXP228.Value.Description","TYXP228.Count","TYXP228.Cumulative","TYXP228.Skip.to.Item"
"-298 to 156","Range of Values",145,145,NA
".","Missing",5440,5585,NA
