"MCQ170m.Code.or.Value","MCQ170m.Value.Description","MCQ170m.Count","MCQ170m.Cumulative","MCQ170m.Skip.to.Item"
"1","Yes",491,491,NA
"2","No",138,629,NA
"7","Refused",1,630,NA
"9","Don't know",25,655,NA
".","Missing",8242,8897,NA
