"RFXC155.Code.or.Value","RFXC155.Value.Description","RFXC155.Count","RFXC155.Cumulative","RFXC155.Skip.to.Item"
"-7.052 to 6.124","Range of Values",33672,33672,NA
".","Missing",49,33721,NA
