"PAQ724c.Code.or.Value","PAQ724c.Value.Description","PAQ724c.Count","PAQ724c.Cumulative","PAQ724c.Skip.to.Item"
"3","BASKETBALL",437,437,NA
".","Missing",8818,9255,NA
