"CIQD004.Code.or.Value","CIQD004.Value.Description","CIQD004.Count","CIQD004.Cumulative","CIQD004.Skip.to.Item"
"1","Yes",77,77,""
"2","No",5,82,"CIQD008"
"7","Refuse",0,82,"CIQD008"
"9","Don't know",0,82,"CIQD008"
".","Missing",768,850,""
