"OCQ540.Code.or.Value","OCQ540.Value.Description","OCQ540.Count","OCQ540.Cumulative","OCQ540.Skip.to.Item"
"0 to 65","Range of Values",1112,1112,NA
"7777","Refused",0,1112,NA
"9999","Don't know",2,1114,NA
".","Missing",5061,6175,NA
