"ARIXDIST.Code.or.Value","ARIXDIST.Value.Description","ARIXDIST.Count","ARIXDIST.Cumulative","ARIXDIST.Skip.to.Item"
"1","Could not obtain",351,351,NA
".","Missing",4650,5001,NA
