"OHQ490i.Code.or.Value","OHQ490i.Value.Description","OHQ490i.Count","OHQ490i.Cumulative","OHQ490i.Skip.to.Item"
"1","Checked",526,526,NA
"77","Refused",0,526,NA
"99","Don't know",8,534,NA
".","Missing",8313,8847,NA
