"RFXC049.Code.or.Value","RFXC049.Value.Description","RFXC049.Count","RFXC049.Cumulative","RFXC049.Skip.to.Item"
"-8.174 to 5.268","Range of Values",33703,33703,NA
".","Missing",18,33721,NA
