"DEQ2ELPO.Code.or.Value","DEQ2ELPO.Value.Description","DEQ2ELPO.Count","DEQ2ELPO.Cumulative","DEQ2ELPO.Skip.to.Item"
"1","Present",32,32,NA
".","Missing",2960,2992,NA
