"DIQ160.Code.or.Value","DIQ160.Value.Description","DIQ160.Count","DIQ160.Cumulative","DIQ160.Skip.to.Item"
"1","Yes",597,597,NA
"2","No",5089,5686,NA
"7","Refused",0,5686,NA
"9","Don't know",8,5694,NA
".","Missing",3203,8897,NA
