"MCD180f.Code.or.Value","MCD180f.Value.Description","MCD180f.Count","MCD180f.Cumulative","MCD180f.Skip.to.Item"
"17 to 79","Range of Values",251,251,NA
"16","16 years or younger",1,252,NA
"80","80 years or older",16,268,NA
"77777","Refused",0,268,NA
"99999","Don't know",5,273,NA
".","Missing",8624,8897,NA
