"SSMISFSG.Code.or.Value","SSMISFSG.Value.Description","SSMISFSG.Count","SSMISFSG.Cumulative","SSMISFSG.Skip.to.Item"
"0 to 4","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
