"CFDCIT3.Code.or.Value","CFDCIT3.Value.Description","CFDCIT3.Count","CFDCIT3.Cumulative","CFDCIT3.Skip.to.Item"
"0 to 6","Range of Values",1674,1674,NA
".","Missing",111,1785,NA
