"DXXL3BMC.Code.or.Value","DXXL3BMC.Value.Description","DXXL3BMC.Count","DXXL3BMC.Cumulative","DXXL3BMC.Skip.to.Item"
"4.76 to 44.01","Range of Values",1914,1914,NA
".","Missing",984,2898,NA
