"URDPIMLC.Code.or.Value","URDPIMLC.Value.Description","URDPIMLC.Count","URDPIMLC.Cumulative","URDPIMLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2422,2422,NA
".","Missing",272,2694,NA
