"KIQ321.Code.or.Value","KIQ321.Value.Description","KIQ321.Count","KIQ321.Cumulative","KIQ321.Skip.to.Item"
"1","Yes",638,638,NA
"2","No",709,1347,NA
"7","Refused",1,1348,NA
"9","Don't know",3,1351,NA
".","Missing",924,2275,NA
