"VIXKLM1.Code.or.Value","VIXKLM1.Value.Description","VIXKLM1.Count","VIXKLM1.Cumulative","VIXKLM1.Skip.to.Item"
"6.43 to 9.56","Range of Values",6441,6441,NA
"88","Could not obtain",63,6504,NA
".","Missing",413,6917,NA
