"SSFHPSL.Code.or.Value","SSFHPSL.Value.Description","SSFHPSL.Count","SSFHPSL.Cumulative","SSFHPSL.Skip.to.Item"
"0","At or above the detection limit",1300,1300,NA
"1","Below lower detection limit",372,1672,NA
".","Missing",0,1672,NA
