"BMIRECUM.Code.or.Value","BMIRECUM.Value.Description","BMIRECUM.Count","BMIRECUM.Cumulative","BMIRECUM.Skip.to.Item"
"1","Could not obtain",24,24,NA
"3","Not straight",0,24,NA
".","Missing",8680,8704,NA
