"BIDTD.Code.or.Value","BIDTD.Value.Description","BIDTD.Count","BIDTD.Cumulative","BIDTD.Skip.to.Item"
"-33.812 to 193.439","Range of Values",4229,4229,NA
".","Missing",1100,5329,NA
