"LBXD05.Code.or.Value","LBXD05.Value.Description","LBXD05.Count","LBXD05.Cumulative","LBXD05.Skip.to.Item"
"9.33 to 2799.4","Range of Values",1874,1874,NA
".","Missing",411,2285,NA
