"OSD030be.Code.or.Value","OSD030be.Value.Description","OSD030be.Count","OSD030be.Cumulative","OSD030be.Skip.to.Item"
"52 to 55","Range of Values",2,2,NA
"80","80 or older",0,2,NA
"77777","Refused",0,2,NA
"99999","Don't know",0,2,NA
".","Missing",3067,3069,NA
