"CIQP66.Code.or.Value","CIQP66.Value.Description","CIQP66.Count","CIQP66.Cumulative","CIQP66.Skip.to.Item"
"0 to 14","Range of Values",6,6,NA
"77","Refused",0,6,NA
"99","Don't know",0,6,NA
".","Missing",844,850,NA
