"LBDSTB.Code.or.Value","LBDSTB.Value.Description","LBDSTB.Count","LBDSTB.Cumulative","LBDSTB.Skip.to.Item"
"0.1 to 4.4","Range of Values",6890,6890,NA
".","Missing",555,7445,NA
