"PFQ061N.Code.or.Value","PFQ061N.Value.Description","PFQ061N.Count","PFQ061N.Cumulative","PFQ061N.Skip.to.Item"
"1","No difficulty",1927,1927,NA
"2","Some difficulty",665,2592,NA
"3","Much difficulty",242,2834,NA
"4","Unable to do",71,2905,NA
"5","Do not do this activity",20,2925,NA
"7","Refused",0,2925,NA
"9","Don't know",2,2927,NA
".","Missing",5494,8421,NA
