"URXDPHP.Code.or.Value","URXDPHP.Value.Description","URXDPHP.Count","URXDPHP.Cumulative","URXDPHP.Skip.to.Item"
"0.0707 to 270","Range of Values",2805,2805,NA
".","Missing",181,2986,NA
