"URXHEM.Code.or.Value","URXHEM.Value.Description","URXHEM.Count","URXHEM.Cumulative","URXHEM.Skip.to.Item"
"0.559 to 71.3","Range of Values",2655,2655,NA
".","Missing",324,2979,NA
