"WTSCI04.Code.or.Value","WTSCI04.Value.Description","WTSCI04.Count","WTSCI04.Cumulative","WTSCI04.Skip.to.Item"
"0 to 458854.09342","Range of Values",727,727,NA
".","Missing",51,778,NA
