"DRXIVE.Code.or.Value","DRXIVE.Value.Description","DRXIVE.Count","DRXIVE.Cumulative","DRXIVE.Skip.to.Item"
"0 to 93.97","Range of Values",127147,127147,NA
".","Missing",693,127840,NA
