"WBXF040.Code.or.Value","WBXF040.Value.Description","WBXF040.Count","WBXF040.Cumulative","WBXF040.Skip.to.Item"
"1155.3527 to 1155.3527","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
