"OSQ020b.Code.or.Value","OSQ020b.Value.Description","OSQ020b.Count","OSQ020b.Cumulative","OSQ020b.Skip.to.Item"
"1","1",252,252,""
"2","2",46,298,""
"3","3",10,308,""
"4","4",3,311,""
"5","5",2,313,""
"7777","Refused",0,313,"OSQ010c"
"9999","Don't know",2,315,"OSQ010c"
".","Missing",2754,3069,""
