"LBDPFHPL.Code.or.Value","LBDPFHPL.Value.Description","LBDPFHPL.Count","LBDPFHPL.Cumulative","LBDPFHPL.Skip.to.Item"
"0","At or above the detection limit",271,271,NA
"1","Below lower detection limit",1897,2168,NA
".","Missing",171,2339,NA
