"SSBHC.Code.or.Value","SSBHC.Value.Description","SSBHC.Count","SSBHC.Cumulative","SSBHC.Skip.to.Item"
"0.3 to 186.1","Range of Values",78,78,NA
".","Missing",0,78,NA
