"RFXT161.Code.or.Value","RFXT161.Value.Description","RFXT161.Count","RFXT161.Cumulative","RFXT161.Skip.to.Item"
"1406 to 1415","Range of Values",33667,33667,NA
".","Missing",54,33721,NA
