"WTSSHS4Y.Code.or.Value","WTSSHS4Y.Value.Description","WTSSHS4Y.Count","WTSSHS4Y.Cumulative","WTSSHS4Y.Skip.to.Item"
"1424.99242 to 101997.91607","Range of Values",1479,1479,NA
"0","No lab specimen",0,1479,NA
".","Missing",0,1479,NA
