"WBXF047.Code.or.Value","WBXF047.Value.Description","WBXF047.Count","WBXF047.Cumulative","WBXF047.Skip.to.Item"
"1414.2136 to 1414.2136","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
