"ARQ020G.Code.or.Value","ARQ020G.Value.Description","ARQ020G.Count","ARQ020G.Cumulative","ARQ020G.Skip.to.Item"
"7","RIB CAGE",79,79,NA
".","Missing",5027,5106,NA
