"BPQ057.Code.or.Value","BPQ057.Value.Description","BPQ057.Count","BPQ057.Cumulative","BPQ057.Skip.to.Item"
"1","Yes",982,982,NA
"2","No",5147,6129,NA
"7","Refused",1,6130,NA
"9","Don't know",44,6174,NA
".","Missing",1,6175,NA
