"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"3.54 to 621","Range of Values",7632,7632,NA
".","Missing",304,7936,NA
