"PSQ100B.Code.or.Value","PSQ100B.Value.Description","PSQ100B.Count","PSQ100B.Cumulative","PSQ100B.Skip.to.Item"
"1","Yes",5,5,NA
"2","No",8,13,NA
"7","Refused",0,13,NA
"9","Don't know",0,13,NA
".","Missing",39,52,NA
