"WTMREP13.Code.or.Value","WTMREP13.Value.Description","WTMREP13.Count","WTMREP13.Cumulative","WTMREP13.Skip.to.Item"
"0 to 259966.30733","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
