"BPD110C.Code.or.Value","BPD110C.Value.Description","BPD110C.Count","BPD110C.Cumulative","BPD110C.Skip.to.Item"
"1","Yes",598,598,NA
"2","No",2928,3526,NA
"7","Refused",0,3526,NA
"9","Don't know",4,3530,NA
".","Missing",2683,6213,NA
