"WTMREP12.Code.or.Value","WTMREP12.Value.Description","WTMREP12.Count","WTMREP12.Cumulative","WTMREP12.Skip.to.Item"
"0 to 261045.28869","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
