"OHD22LAS.Code.or.Value","OHD22LAS.Value.Description","OHD22LAS.Count","OHD22LAS.Cumulative","OHD22LAS.Skip.to.Item"
"0 to 8","Range of Values",2378,2378,NA
"99","Calculation cannot be determined",122,2500,NA
".","Missing",4218,6718,NA
