"DTD230Q.Code.or.Value","DTD230Q.Value.Description","DTD230Q.Count","DTD230Q.Cumulative","DTD230Q.Skip.to.Item"
"0 to 39","Range of Values",7846,7846,NA
"777","Refused",3,7849,NA
"999","Don't know",5,7854,NA
".","Missing",687,8541,NA
