"SLQ180.Code.or.Value","SLQ180.Value.Description","SLQ180.Count","SLQ180.Cumulative","SLQ180.Skip.to.Item"
"1","Don't do this activity for other reasons",48,48,NA
"2","No difficulty",5259,5307,NA
"3","Yes, a little difficulty",987,6294,NA
"4","Yes, moderate difficulty",186,6480,NA
"5","Yes, extreme difficulty",57,6537,NA
"7","Refused",1,6538,NA
"9","Don't know",8,6546,NA
".","Missing",0,6546,NA
