"LBXD01LA.Code.or.Value","LBXD01LA.Value.Description","LBXD01LA.Count","LBXD01LA.Cumulative","LBXD01LA.Skip.to.Item"
"0.4 to 36.3","Range of Values",1878,1878,NA
".","Missing",407,2285,NA
