"VTQ170.Code.or.Value","VTQ170.Value.Description","VTQ170.Count","VTQ170.Cumulative","VTQ170.Skip.to.Item"
"1","Yes",313,313,NA
"2","No",336,649,NA
"7","Refused",0,649,NA
"9","Don't know",0,649,NA
".","Missing",202,851,NA
