"RFXT035.Code.or.Value","RFXT035.Value.Description","RFXT035.Count","RFXT035.Cumulative","RFXT035.Skip.to.Item"
"292 to 301","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
