"DRD350F.Code.or.Value","DRD350F.Value.Description","DRD350F.Count","DRD350F.Cumulative","DRD350F.Skip.to.Item"
"1","Yes",262,262,""
"2","No",3043,3305,"DRD350G"
".","Missing",5399,8704,""
