"RFXC021.Code.or.Value","RFXC021.Value.Description","RFXC021.Count","RFXC021.Cumulative","RFXC021.Skip.to.Item"
"-5.836 to 3.72","Range of Values",51071,51071,NA
".","Missing",5,51076,NA
