"OHD31LAS.Code.or.Value","OHD31LAS.Value.Description","OHD31LAS.Count","OHD31LAS.Cumulative","OHD31LAS.Skip.to.Item"
"0 to 7","Range of Values",2291,2291,NA
"99","Calculation cannot be determined",523,2814,NA
".","Missing",4316,7130,NA
