"DXXTATV.Code.or.Value","DXXTATV.Value.Description","DXXTATV.Count","DXXTATV.Cumulative","DXXTATV.Skip.to.Item"
"226.52 to 6410.33","Range of Values",5095,5095,NA
".","Missing",685,5780,NA
