"LBDTSH1S.Code.or.Value","LBDTSH1S.Value.Description","LBDTSH1S.Count","LBDTSH1S.Cumulative","LBDTSH1S.Skip.to.Item"
"0.035 to 99.564","Range of Values",2365,2365,NA
".","Missing",179,2544,NA
