"SSBB1.Code.or.Value","SSBB1.Value.Description","SSBB1.Count","SSBB1.Cumulative","SSBB1.Skip.to.Item"
"0.4 to 28.5","Range of Values",76,76,NA
".","Missing",2,78,NA
