"DMDHSEDU.Code.or.Value","DMDHSEDU.Value.Description","DMDHSEDU.Count","DMDHSEDU.Cumulative","DMDHSEDU.Skip.to.Item"
"1","Less Than 9th Grade",607,607,NA
"2","9-11th Grade (Includes 12th grade with no diploma)",729,1336,NA
"3","High School Grad/GED or equivalent",728,2064,NA
"4","Some College or AA degree",661,2725,NA
"5","College Graduate or above",483,3208,NA
"7","Refused",3,3211,NA
"9","Don't know",21,3232,NA
".","Missing",6733,9965,NA
